tipo,variavel,categoria,metrica,magnitude,p_value_fdr,n,resultado,limitacao
Numérica,_churn_bin,,rank-biserial,1.0,0.0,15000,Valores de _churn_bin tendem a ser maior no grupo Churn nesta amostra; efeito rank-biserial=1.000.,Associação observacional; não implica causalidade.
Numérica,total_spent,,rank-biserial,-0.40660287527089933,1.1930847496956232e-200,13950,Valores de total_spent tendem a ser menor no grupo Churn nesta amostra; efeito rank-biserial=-0.407.,Associação observacional; não implica causalidade.
Numérica,satisfaction_score,,rank-biserial,-0.40095341355071257,2.4269254894183524e-215,14298,Valores de satisfaction_score tendem a ser menor no grupo Churn nesta amostra; efeito rank-biserial=-0.401.,Associação observacional; não implica causalidade.
Numérica,support_tickets,,rank-biserial,0.13514716198418064,1.2998601118847742e-25,15000,Valores de support_tickets tendem a ser maior no grupo Churn nesta amostra; efeito rank-biserial=0.135.,Associação observacional; não implica causalidade.
Categórica,_churn_label,,Cramér's V,0.9997430556155091,0.0,15000,_churn_label apresenta associação com churn nesta amostra; Cramér's V=1.000.,Associação observacional; categorias raras exigem cautela.
Segmento,_churn_bin,1,desvio da taxa geral (p.p.),84.68,,2298,O segmento _churn_bin=1 possui taxa de churn 100.00% vs. 15.32% na base (diferença de +84.68 p.p.).,Comparação descritiva; não implica efeito causal do segmento.
Segmento,support_tickets,6,desvio da taxa geral (p.p.),35.289756097560975,,164,O segmento support_tickets=6 possui taxa de churn 50.61% vs. 15.32% na base (diferença de +35.29 p.p.).,Comparação descritiva; não implica efeito causal do segmento.
Segmento,support_tickets,5,desvio da taxa geral (p.p.),34.85667844522968,,566,O segmento support_tickets=5 possui taxa de churn 50.18% vs. 15.32% na base (diferença de +34.86 p.p.).,Comparação descritiva; não implica efeito causal do segmento.
Segmento,satisfaction_score,2.0,desvio da taxa geral (p.p.),34.85182130584192,,1455,O segmento satisfaction_score=2.0 possui taxa de churn 50.17% vs. 15.32% na base (diferença de +34.85 p.p.).,Comparação descritiva; não implica efeito causal do segmento.
Segmento,satisfaction_score,1.0,desvio da taxa geral (p.p.),33.41837981407703,,753,O segmento satisfaction_score=1.0 possui taxa de churn 48.74% vs. 15.32% na base (diferença de +33.42 p.p.).,Comparação descritiva; não implica efeito causal do segmento.
