feature,mean_abs_shap
num___churn_bin,0.26155208333333174
num__is_premium_user,0.0
num__total_visits,0.0
num__avg_session_time,0.0
num__pages_per_session,0.0
num__email_open_rate,0.0
num__email_click_rate,0.0
num__total_spent,0.0
num__age,0.0
num__avg_order_value,0.0
num__discount_used,0.0
num__refund_requested,0.0
num__support_tickets,0.0
num__satisfaction_score,0.0
num__nps_score,0.0
num__marketing_spend_per_user,0.0
num__delivery_delay_days,0.0
num__lifetime_value,0.0
num__last_3_month_purchase_freq,0.0
num__coupon_code_reported,0.0
cat__gender_Female,0.0
cat__gender_Male,0.0
cat__gender_Missing,0.0
cat__gender_Other,0.0
cat__country_Bangladesh,0.0
cat__country_Germany,0.0
cat__country_India,0.0
cat__country_UK,0.0
cat__country_USA,0.0
cat__city_Berlin,0.0
cat__city_Delhi,0.0
cat__city_Dhaka,0.0
cat__city_Hamburg,0.0
cat__city_London,0.0
cat__city_Mumbai,0.0
cat__city_New York,0.0
cat__acquisition_channel_Email,0.0
cat__acquisition_channel_Facebook Ads,0.0
cat__acquisition_channel_Google Ads,0.0
cat__acquisition_channel_Organic,0.0
cat__acquisition_channel_Referral,0.0
cat__device_type_Desktop,0.0
cat__device_type_Mobile,0.0
cat__device_type_Tablet,0.0
cat__subscription_type_Annual,0.0
cat__subscription_type_Monthly,0.0
cat__coupon_code_Missing,0.0
cat__coupon_code_NEW20,0.0
cat__coupon_code_REF10,0.0
cat__coupon_code_SALE15,0.0
cat__payment_method_BKash,0.0
cat__payment_method_Card,0.0
cat__payment_method_PayPal,0.0
cat__payment_method_SEPA,0.0
cat__payment_method_UPI,0.0
cat___churn_label_Churn,0.0
cat___churn_label_Permaneceu,0.0
